SnapshotId,Username,DisplayName,Platform,NameColorHex,Position,TimeOnBoardSeconds,LevelPointsEarned,Eliminated
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Biazeqqe12,Biazeqqe,Twitch,FFFFFFFF,1,17.358223,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Xautitqu8,Xautitqu,Twitch,FFFFFFFF,2,17.402672,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Duiqebti10,Duiqebti,Twitch,FFFFFFFF,3,17.436007,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Geowizbo41,Geowizbo,Twitch,FFFFFFFF,4,17.436007,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Qoubawti24,Qoubawti,Twitch,FFFFFFFF,5,17.480455,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Boixoxdo15,Boixoxdo,Twitch,FFFFFFFF,6,17.491568,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Toutoxge36,Toutoxge,Twitch,FFFFFFFF,7,17.524904,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Zaitugba39,Zaitugba,Twitch,FFFFFFFF,8,17.569351,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Teoxecbu6,Teoxecbu,Twitch,FFFFFFFF,9,17.580463,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Duuteqxa27,Duuteqxa,Twitch,FFFFFFFF,10,17.580463,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Cuixodxe2,Cuixodxe,Twitch,FFFFFFFF,11,17.591576,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Zuuxiqxi19,Zuuxiqxi,Twitch,FFFFFFFF,12,17.647137,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Beuziqcu0,Beuziqcu,Twitch,FFFFFFFF,13,17.658249,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Baatogxo14,Baatogxo,Twitch,FFFFFFFF,14,17.669361,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Gauqibza42,Gauqibza,Twitch,FFFFFFFF,15,17.680473,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Caaceddo3,Caaceddo,Twitch,FFFFFFFF,16,17.691584,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Xuibibwa7,Xuibibwa,Twitch,FFFFFFFF,17,17.691584,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Woetodti38,Woetodti,Twitch,FFFFFFFF,18,17.736029,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Deeqeqwe45,Deeqeqwe,Twitch,FFFFFFFF,19,17.736029,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Beogiqca5,Beogiqca,Twitch,FFFFFFFF,20,17.780478,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Ceubebge13,Ceubebge,Twitch,FFFFFFFF,21,17.858294,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Ziaxigxa20,Ziaxigxa,Twitch,FFFFFFFF,22,17.858294,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Boedazxi33,Boedazxi,Twitch,FFFFFFFF,23,17.858294,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Wiudiddu23,Wiudiddu,Twitch,FFFFFFFF,24,17.891630,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Toobowbu46,Toobowbu,Twitch,FFFFFFFF,25,17.936079,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Qoicegbu25,Qoicegbu,Twitch,FFFFFFFF,26,18.013861,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Ceocagbi21,Ceocagbi,Twitch,FFFFFFFF,27,18.047197,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Duuzubqo31,Duuzubqo,Twitch,FFFFFFFF,28,18.047197,0,false
9655ef82-45e9-a12d-8a72-879fcc6a2ce9,Gaizuzcu37,Gaizuzcu,Twitch,FFFFFFFF,29,18.069422,0,false
